Database initialized successfully
(node:24064) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-19T06:46:33.867Z] GET /api/v1/alerts
[2026-05-19T06:46:34.728Z] POST /api/v1/auth/login
[2026-05-19T06:46:34.982Z] GET /api/v1/alerts
[2026-05-19T06:46:34.996Z] POST /api/v1/auth/login
[2026-05-19T06:46:35.243Z] GET /api/v1/alerts
[2026-05-19T06:46:35.261Z] POST /api/v1/auth/login
[2026-05-19T06:46:35.520Z] GET /api/v1/alerts
[2026-05-19T06:46:35.530Z] POST /api/v1/auth/login
[2026-05-19T06:46:35.813Z] GET /api/v1/alerts
[2026-05-19T06:46:36.386Z] POST /api/v1/auth/login
[2026-05-19T06:46:36.943Z] GET /api/v1/alerts
[2026-05-19T06:46:36.946Z] GET /api/v1/alerts
[2026-05-19T06:46:38.438Z] POST /api/v1/auth/login
[2026-05-19T06:46:39.036Z] GET /api/v1/alerts
[2026-05-19T06:46:39.038Z] GET /api/v1/alerts
[2026-05-19T06:46:39.494Z] POST /api/v1/auth/login
[2026-05-19T06:46:39.835Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:39.838Z] GET /api/v1/inbound
[2026-05-19T06:46:39.841Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:39.844Z] GET /api/v1/inbound
[2026-05-19T06:46:39.846Z] GET /api/v1/outbound
[2026-05-19T06:46:40.020Z] GET /api/v1/alerts
[2026-05-19T06:46:40.023Z] GET /api/v1/alerts
[2026-05-19T06:46:40.527Z] POST /api/v1/auth/login
[2026-05-19T06:46:40.864Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:40.868Z] GET /api/v1/inbound
[2026-05-19T06:46:40.869Z] GET /api/v1/outbound
[2026-05-19T06:46:40.872Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:40.875Z] GET /api/v1/inbound
[2026-05-19T06:46:41.041Z] GET /api/v1/alerts
[2026-05-19T06:46:41.044Z] GET /api/v1/alerts
[2026-05-19T06:46:41.527Z] POST /api/v1/auth/login
[2026-05-19T06:46:41.889Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:41.892Z] GET /api/v1/inbound
[2026-05-19T06:46:41.893Z] GET /api/v1/outbound
[2026-05-19T06:46:41.895Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:41.898Z] GET /api/v1/inbound
[2026-05-19T06:46:42.070Z] GET /api/v1/alerts
[2026-05-19T06:46:42.072Z] GET /api/v1/alerts
[2026-05-19T06:46:42.578Z] POST /api/v1/auth/login
[2026-05-19T06:46:42.920Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:42.923Z] GET /api/v1/inbound
[2026-05-19T06:46:42.925Z] GET /api/v1/outbound
[2026-05-19T06:46:42.926Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:42.929Z] GET /api/v1/outbound
[2026-05-19T06:46:43.094Z] GET /api/v1/alerts
[2026-05-19T06:46:43.096Z] GET /api/v1/alerts
[2026-05-19T06:46:43.593Z] POST /api/v1/auth/login
[2026-05-19T06:46:43.927Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:43.928Z] GET /api/v1/inbound
[2026-05-19T06:46:43.930Z] GET /api/v1/outbound
[2026-05-19T06:46:43.931Z] GET /api/v1/inbound
[2026-05-19T06:46:43.931Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:44.097Z] GET /api/v1/alerts
[2026-05-19T06:46:44.100Z] GET /api/v1/alerts
[2026-05-19T06:46:45.101Z] POST /api/v1/auth/login
[2026-05-19T06:46:45.742Z] GET /api/v1/alerts
[2026-05-19T06:46:45.745Z] GET /api/v1/alerts
[2026-05-19T06:46:46.629Z] POST /api/v1/auth/login
[2026-05-19T06:46:46.912Z] GET /api/v1/alerts
[2026-05-19T06:46:46.924Z] POST /api/v1/auth/login
[2026-05-19T06:46:47.217Z] POST /api/v1/auth/login
[2026-05-19T06:46:47.525Z] GET /api/v1/alerts
[2026-05-19T06:46:47.536Z] POST /api/v1/auth/login
[2026-05-19T06:46:47.842Z] POST /api/v1/alerts/non-existent/handle
[2026-05-19T06:46:47.855Z] POST /api/v1/auth/login
[2026-05-19T06:46:48.201Z] GET /api/v1/alerts
[2026-05-19T06:46:48.220Z] POST /api/v1/auth/login
[2026-05-19T06:46:48.534Z] GET /api/v1/alerts
[2026-05-19T06:46:48.544Z] POST /api/v1/auth/login
[2026-05-19T06:46:48.834Z] GET /api/v1/alerts
[2026-05-19T06:46:49.468Z] POST /api/v1/auth/login
[2026-05-19T06:46:50.010Z] GET /api/v1/alerts
[2026-05-19T06:46:50.014Z] GET /api/v1/alerts
[2026-05-19T06:46:51.837Z] POST /api/v1/auth/login
[2026-05-19T06:46:52.398Z] GET /api/v1/alerts
[2026-05-19T06:46:52.400Z] GET /api/v1/alerts
[2026-05-19T06:46:53.511Z] POST /api/v1/auth/login
[2026-05-19T06:46:53.755Z] GET /api/v1/alerts
[2026-05-19T06:46:53.763Z] POST /api/v1/auth/login
[2026-05-19T06:46:54.074Z] GET /api/v1/alerts
[2026-05-19T06:46:54.085Z] POST /api/v1/auth/login
[2026-05-19T06:46:54.389Z] GET /api/v1/alerts
[2026-05-19T06:46:55.070Z] POST /api/v1/auth/login
[2026-05-19T06:46:55.460Z] GET /api/v1/inventory/stats
[2026-05-19T06:46:55.465Z] GET /api/v1/inbound
[2026-05-19T06:46:55.469Z] GET /api/v1/outbound
[2026-05-19T06:46:55.641Z] GET /api/v1/alerts
[2026-05-19T06:46:55.643Z] GET /api/v1/alerts
[2026-05-19T06:46:56.257Z] GET /api/v1/alerts
[2026-05-19T06:46:56.260Z] GET /api/v1/alerts
[2026-05-19T06:46:57.169Z] POST /api/v1/auth/login
[2026-05-19T06:46:57.428Z] GET /api/v1/alerts
[2026-05-19T06:46:58.001Z] POST /api/v1/auth/login
[2026-05-19T06:46:58.532Z] GET /api/v1/alerts
[2026-05-19T06:46:58.535Z] GET /api/v1/alerts
[2026-05-19T06:47:00.113Z] POST /api/v1/auth/login
[2026-05-19T06:47:00.645Z] GET /api/v1/alerts
[2026-05-19T06:47:00.649Z] GET /api/v1/alerts
[2026-05-19T06:47:01.543Z] POST /api/v1/auth/login
[2026-05-19T06:47:01.797Z] GET /api/v1/alerts
[2026-05-19T06:47:02.449Z] POST /api/v1/auth/login
[2026-05-19T06:47:02.994Z] GET /api/v1/alerts
[2026-05-19T06:47:02.997Z] GET /api/v1/alerts
[2026-05-19T06:47:04.667Z] POST /api/v1/auth/login
[2026-05-19T06:47:05.178Z] GET /api/v1/alerts
[2026-05-19T06:47:05.180Z] GET /api/v1/alerts
[2026-05-19T06:47:06.606Z] POST /api/v1/auth/login
[2026-05-19T06:47:07.156Z] GET /api/v1/alerts
[2026-05-19T06:47:07.159Z] GET /api/v1/alerts
[2026-05-19T06:47:07.745Z] GET /api/v1/alerts
[2026-05-19T06:47:07.748Z] GET /api/v1/alerts
[2026-05-19T06:47:09.245Z] POST /api/v1/auth/login
[2026-05-19T06:47:09.833Z] GET /api/v1/alerts
[2026-05-19T06:47:09.836Z] GET /api/v1/alerts
[2026-05-19T06:47:10.707Z] POST /api/v1/auth/login
[2026-05-19T06:47:10.968Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:10.978Z] POST /api/v1/auth/login
[2026-05-19T06:47:11.241Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:11.242Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:11.264Z] POST /api/v1/auth/login
[2026-05-19T06:47:11.514Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:11.516Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:11.537Z] POST /api/v1/auth/login
[2026-05-19T06:47:11.798Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:11.800Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:11.811Z] POST /api/v1/auth/login
[2026-05-19T06:47:12.097Z] POST /api/v1/auth/login
[2026-05-19T06:47:12.386Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:12.388Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:12.398Z] POST /api/v1/auth/login
[2026-05-19T06:47:12.743Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:12.745Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:12.757Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:12.777Z] POST /api/v1/auth/login
[2026-05-19T06:47:13.070Z] GET /api/v1/alerts/rules
[2026-05-19T06:47:13.072Z] PUT /api/v1/alerts/rules/RULE-001
[2026-05-19T06:47:13.674Z] POST /api/v1/auth/login
[2026-05-19T06:47:14.409Z] GET /api/v1/alerts
[2026-05-19T06:47:14.412Z] GET /api/v1/alerts
[2026-05-19T06:47:16.251Z] POST /api/v1/auth/login
[2026-05-19T06:47:16.790Z] GET /api/v1/alerts
